,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000000003,114.7976182,0.593934294,0.305304707,1.945382038,0.051729015,0.388794886
ENSG00000000005,0.50169182,-0.478435982,1.518310415,-0.315110782,0.752677542,0.952614221
ENSG00000000419,83.09423947,0.110147869,0.246444588,0.446947812,0.654912742,0.922485525
ENSG00000000457,138.6641292,-0.086337884,0.154711848,-0.558056059,0.576806105,0.890829126
ENSG00000000460,26.19185711,-0.104150211,0.330206175,-0.315409641,0.752450648,0.952614221
ENSG00000000938,3873.29591,0.308644643,0.266489651,1.158186225,0.246788048,0.689867816
ENSG00000000971,188.3863171,-0.12858425,0.29183358,-0.440608136,0.659496712,0.923699641
ENSG00000001036,123.5816111,-0.039933428,0.178351631,-0.223902791,0.822832944,0.971250668
ENSG00000001084,158.1964044,0.006414727,0.294467137,0.021784188,0.982620108,0.998549101
ENSG00000001167,282.8056404,-0.226175352,0.190860087,-1.185032215,0.23600471,0.679533303
ENSG00000001460,130.7893677,-0.08504017,0.310210758,-0.274136754,0.783979529,0.960626561
ENSG00000001461,153.8929213,-0.357976946,0.237865577,-1.504954814,0.132335694,0.553704647
ENSG00000001497,97.29644871,-0.317941195,0.224110782,-1.418678707,0.155992708,0.589891494
ENSG00000001561,203.2629914,0.074642956,0.370579352,0.201422329,0.840368357,0.97514873
ENSG00000001617,134.7045924,-0.476975294,0.277882424,-1.716464423,0.086077074,0.473033249
ENSG00000001626,20.89371007,0.754104187,0.514836994,1.46474359,0.142990887,0.56936402
ENSG00000001629,481.2001277,-0.029899563,0.206733786,-0.144628335,0.885004324,0.985373275
ENSG00000001630,574.2308997,-0.389144557,0.314192374,-1.238555067,0.215510317,0.658830827
ENSG00000001631,110.3666003,-0.015116549,0.178680046,-0.084601216,0.932578432,0.992519928
ENSG00000002016,21.54615495,-0.509961604,0.331592825,-1.537915076,0.124069381,0.541553894
ENSG00000002330,229.4215861,-0.305602028,0.222325487,-1.374570373,0.169264679,0.606043963
ENSG00000002549,1823.957459,-0.608218802,0.269530166,-2.256588977,0.02403377,0.293819009
ENSG00000002586,491.2649683,-0.409749587,0.255035678,-1.606636332,0.108134168,0.515132644
ENSG00000002587,295.3254897,-0.142572369,0.299945985,-0.475326814,0.63455405,0.915149658
ENSG00000002726,8.399756336,0.032424553,0.789445398,0.041072572,0.967238041,0.996483263
ENSG00000002745,0.254502602,-0.561409599,2.580029989,-0.217598091,0.827742272,NA
ENSG00000002746,5.118338425,0.786014769,1.407820256,0.5583204,0.576625617,0.890829126
ENSG00000002822,153.4710379,0.447357218,0.26033751,1.718374038,0.085728413,0.472892459
ENSG00000002834,2886.725018,-0.273957995,0.192363695,-1.424166838,0.154398182,0.586766528
ENSG00000002919,372.2810133,0.178663078,0.185565542,0.962803094,0.335646348,0.760011862
ENSG00000002933,115.1003411,0.298510047,0.25645447,1.163988472,0.244428683,0.688420574
ENSG00000003056,438.6525926,0.100416238,0.153078032,0.655980723,0.511836527,0.860851613
ENSG00000003096,14.03966769,-0.082476526,0.498688591,-0.165386831,0.868639518,0.983146878
ENSG00000003137,8.336673218,-0.532571912,0.584751956,-0.910765506,0.362418941,0.779642572
ENSG00000003147,98.23613694,-0.043473461,0.207159402,-0.209855119,0.833780752,0.973690499
ENSG00000003249,36.43199259,-0.197477816,0.314061754,-0.628786579,0.529488788,0.870226209
ENSG00000003393,135.1829299,-0.182823338,0.205989451,-0.88753738,0.37478965,0.787452687
ENSG00000003400,384.7916774,-0.221361512,0.214707478,-1.030991163,0.302544964,0.735453778
ENSG00000003402,6984.487985,0.297626481,0.174522948,1.705371614,0.088125139,0.478451613
ENSG00000003436,78.8821984,0.052437684,0.356439823,0.147115111,0.883041163,0.984900342
ENSG00000003509,23.99063071,0.159051458,0.24735264,0.643015,0.520214367,0.86675784
ENSG00000003756,446.9827095,0.227151375,0.171371769,1.325488886,0.185009053,0.622821322
ENSG00000003987,7.350644459,0.257901807,0.547006165,0.471478793,0.63729886,0.915885781
ENSG00000003989,77.5058033,0.381998561,0.352562278,1.083492435,0.278589907,0.71420178
ENSG00000004059,579.2204137,0.094434336,0.175522232,0.538019229,0.590563773,0.89692601
ENSG00000004139,66.49731474,-0.138886149,0.332697895,-0.417454247,0.676346183,0.928773339
ENSG00000004142,373.5525641,-0.165595438,0.186370116,-0.888529991,0.374255731,0.787233605
ENSG00000004399,342.6403433,0.631608882,0.313432887,2.015132769,0.04389074,0.364535865
ENSG00000004455,644.0953769,0.108537098,0.201789871,0.537871883,0.590665501,0.89692601
ENSG00000004468,365.4546949,-0.582324924,0.284643688,-2.045803043,0.040775753,0.353634683
ENSG00000004478,522.5275399,0.102309106,0.256456181,0.398934061,0.689941791,0.934772925
ENSG00000004487,272.3797657,-0.065793752,0.225432411,-0.29185578,0.770396895,0.956190377
ENSG00000004534,173.0205141,-0.189570678,0.19495143,-0.972399527,0.330851827,0.756656931
ENSG00000004660,63.08832793,-0.182096189,0.229900802,-0.792064176,0.428323257,0.817178536
ENSG00000004700,149.1239492,0.154767437,0.180000714,0.859815688,0.38989065,0.795123485
ENSG00000004766,89.08930675,0.379678535,0.24738325,1.534778669,0.124838204,0.542215576
ENSG00000004776,0.491232845,0.727540918,1.563614885,0.465294188,0.641720796,0.916915474
ENSG00000004777,20.80470622,-0.585749515,0.496570248,-1.179590437,0.238163148,0.681241179
ENSG00000004779,99.26825628,0.123276873,0.215240638,0.572739768,0.566820907,0.887635515
ENSG00000004799,54.59836475,0.801839993,0.329312564,2.434890379,0.014896302,0.234723315
ENSG00000004809,7.041839954,-0.592323369,0.507746193,-1.166573728,0.243382558,0.687457904
ENSG00000004838,325.3303895,0.13591167,0.306590861,0.443299808,0.657548895,0.923293388
ENSG00000004846,2.582720349,0.615198428,1.30384547,0.47183385,0.637045387,0.915671309
ENSG00000004848,1.164429055,0.710905343,0.81064432,0.876963331,0.380506555,0.789084003
ENSG00000004864,210.9812138,-0.061556545,0.236422716,-0.260366456,0.794581115,0.963744251
ENSG00000004866,44.15200331,0.077581796,0.259385361,0.299098592,0.764864821,0.95507534
ENSG00000004897,329.8784537,0.149312584,0.208442654,0.716324521,0.473790989,0.840130435
ENSG00000004939,30.06820391,-2.295429493,1.06971473,-2.145833304,0.031886281,0.331485244
ENSG00000004948,0.704514669,0.361502703,1.440004462,0.251042766,0.801781045,0.965841528
ENSG00000004961,84.00680833,-0.240221619,0.18814444,-1.276793613,0.201675121,0.642625205
ENSG00000004975,133.2682675,0.28531311,0.240509455,1.186286461,0.235509191,0.679364142
ENSG00000005001,369.2334314,0.682626614,0.256853021,2.657654605,0.007868649,0.181900387
ENSG00000005007,893.0004313,0.055662194,0.199508835,0.278996138,0.780247789,0.959508629
ENSG00000005020,652.034081,0.442344962,0.250240374,1.767680231,0.077114377,0.454028983
ENSG00000005022,831.1948352,-0.152610553,0.217449434,-0.701820882,0.482790874,0.844959902
ENSG00000005059,243.4689314,-0.063463787,0.225972242,-0.28084771,0.778827209,0.958579843
ENSG00000005073,0.170865159,0.006204611,5.561225898,0.001115691,0.999109807,NA
ENSG00000005075,218.624163,-0.392276404,0.20655373,-1.899149452,0.057544829,0.405212463
ENSG00000005100,82.36527626,-0.087697941,0.201821331,-0.434532569,0.663901749,0.925280806
ENSG00000005102,6.449947125,0.15497002,0.506496435,0.30596468,0.759631538,0.953778548
ENSG00000005108,21.69875449,-0.279624095,0.436343677,-0.640834529,0.521630197,0.86744164
ENSG00000005156,174.3753199,0.034684765,0.236455881,0.146685991,0.883379877,0.985005938
ENSG00000005175,139.0243403,0.020639184,0.264720828,0.077965848,0.93785522,0.993441082
ENSG00000005187,12.19639239,0.648745099,0.396488101,1.636228421,0.10179179,0.504035594
ENSG00000005189,21.27827498,-0.085145452,0.383765574,-0.221868394,0.824416335,0.971250668
ENSG00000005194,114.6200387,0.144126088,0.188929383,0.762856926,0.445548727,0.825794982
ENSG00000005206,135.1410567,0.243741509,0.278331905,0.87572249,0.381180916,0.789928604
ENSG00000005238,381.4716053,-0.198146793,0.202770508,-0.977197302,0.328471483,0.755003348
ENSG00000005243,10.76787624,0.441102031,0.34052811,1.295346898,0.195200588,0.635870908
ENSG00000005249,72.20461735,0.539521435,0.342072485,1.577213773,0.114746345,0.526365153
ENSG00000005302,298.4734367,-0.235853159,0.25871568,-0.91163071,0.361963151,0.779334387
ENSG00000005339,2066.409347,0.746471743,0.284969879,2.619475948,0.008806498,0.191158525
ENSG00000005379,149.0760711,0.431280016,0.288099096,1.496984968,0.13439717,0.557131289
ENSG00000005381,511.9817362,-0.234250225,0.36851727,-0.635656029,0.525000642,0.868894939
ENSG00000005421,0.336828193,0.924113339,2.782308501,0.332139063,0.739784255,NA
ENSG00000005436,77.07939654,0.215313121,0.235929708,0.912615552,0.361444772,0.778881786
ENSG00000005448,67.88421031,-0.188642098,0.282014691,-0.668908763,0.50355368,0.857178594
ENSG00000005469,55.94655652,-0.190949656,0.297752801,-0.641302637,0.521326076,0.86725346
ENSG00000005471,8.238181678,-0.61396879,0.701103672,-0.875717551,0.381183602,0.789928604
ENSG00000005483,1452.248287,0.150786494,0.17761241,0.848963729,0.395901476,0.799526455
