Goterm,ID,Description,NES,pvalue,p.adjust,pergene,FDR
Neutrophil mediated immunity (GO:0002446),GO:0002446,Neutrophil mediated immunity,1.846046473,3.13E-11,1.99E-07,0.382293763,1.99E-07
Neutrophil degranulation (GO:0043312),GO:0043312,Neutrophil degranulation,1.826318839,1.09E-10,2.64E-07,0.372670807,2.64E-07
Neutrophil activation involved in immune response (GO:0002283),GO:0002283,Neutrophil activation involved in immune response,1.825739772,1.24E-10,2.64E-07,0.372427984,2.64E-07
Neutrophil activation (GO:0042119),GO:0042119,Neutrophil activation,1.811126904,2.08E-10,3.26E-07,0.378269618,3.26E-07
Response to type I interferon (GO:0034340),GO:0034340,Response to type I interferon,-2.356327936,2.57E-10,3.26E-07,0.552083333,3.26E-07
Defense response to virus (GO:0051607),GO:0051607,Defense response to virus,-1.970999365,5.87E-10,6.22E-07,0.403921569,6.22E-07
Type I interferon signaling pathway (GO:0060337),GO:0060337,Type I interferon signaling pathway,-2.311554173,3.52E-09,2.80E-06,0.543478261,2.80E-06
Cellular response to type I interferon (GO:0071357),GO:0071357,Cellular response to type I interferon,-2.311554173,3.52E-09,2.80E-06,0.543478261,2.80E-06
Interferon-gamma-mediated signaling pathway (GO:0060333),GO:0060333,Interferon-gamma-mediated signaling pathway,-2.269408059,6.90E-09,4.88E-06,0.563218391,4.88E-06
RNA splicing (GO:0008380),GO:0008380,RNA splicing,-1.682568904,5.13E-08,2.99E-05,0.374429224,2.99E-05
Response to virus (GO:0009615),GO:0009615,Response to virus,-1.762523956,5.17E-08,2.99E-05,0.337278107,2.99E-05
Antigen receptor-mediated signaling pathway (GO:0050851),GO:0050851,Antigen receptor-mediated signaling pathway,-1.894759695,6.11E-08,3.24E-05,0.394957983,3.24E-05
Negative regulation of viral life cycle (GO:1903901),GO:1903901,Negative regulation of viral life cycle,-2.204148237,6.72E-08,3.29E-05,0.518518519,3.29E-05
"RNA splicing, via transesterification reactions (GO:0000375)",GO:0000375,"RNA splicing, via transesterification reactions",-1.734692235,1.19E-07,5.39E-05,0.383285303,5.39E-05
