PPVuse,Abundance,Species
NA,0.986196464,Moraxella catarrhalis
NA,0.978012712,Moraxella catarrhalis
NA,0.972039977,Moraxella nonliquefaciens
NA,0.968741451,Moraxella catarrhalis
NA,0.966809546,Haemophilus influenzae
NA,0.96522886,Moraxella nonliquefaciens
NA,0.963862936,Moraxella catarrhalis
NA,0.960252319,Moraxella catarrhalis
NA,0.952242314,Moraxella catarrhalis
NA,0.947542793,Moraxella nonliquefaciens
NA,0.935912154,Moraxella catarrhalis
NA,0.934990051,Moraxella catarrhalis
NA,0.931857213,Moraxella nonliquefaciens
NA,0.931252088,Moraxella catarrhalis
NA,0.928528265,Moraxella catarrhalis
NA,0.922885223,Moraxella catarrhalis
NA,0.922349186,Moraxella nonliquefaciens
NA,0.916306804,Haemophilus influenzae
NA,0.913910183,Moraxella catarrhalis
NA,0.910754489,Streptococcus pneumoniae
NA,0.907722579,Streptococcus pneumoniae
NA,0.906310448,Moraxella nonliquefaciens
NA,0.905582075,Streptococcus pneumoniae
NA,0.903517697,Haemophilus influenzae
NA,0.903494192,Streptococcus pneumoniae
NA,0.893435152,Moraxella catarrhalis
NA,0.879404067,Streptococcus pneumoniae
NA,0.878180842,Streptococcus pneumoniae
NA,0.876607153,Moraxella catarrhalis
NA,0.872972055,Streptococcus pneumoniae
NA,0.866672616,Streptococcus pneumoniae
NA,0.856772746,Moraxella nonliquefaciens
NA,0.85640247,Moraxella nonliquefaciens
NA,0.851834456,Moraxella nonliquefaciens
NA,0.847009627,Streptococcus pneumoniae
NA,0.845568208,Moraxella catarrhalis
NA,0.844336854,Streptococcus pneumoniae
NA,0.836914631,Moraxella catarrhalis
NA,0.824811242,Streptococcus pneumoniae
NA,0.821987498,Moraxella catarrhalis
NA,0.807295096,Streptococcus pneumoniae
NA,0.802216069,Moraxella catarrhalis
NA,0.796474081,Streptococcus pneumoniae
NA,0.789938434,Cutibacterium acnes
NA,0.788100195,Moraxella catarrhalis
NA,0.787779796,Moraxella catarrhalis
NA,0.786573392,Cutibacterium acnes
NA,0.782387145,Moraxella catarrhalis
NA,0.776941153,Streptococcus pneumoniae
NA,0.774892317,Moraxella catarrhalis
NA,0.771856207,Haemophilus influenzae
NA,0.770403712,Streptococcus pneumoniae
NA,0.76799378,Moraxella nonliquefaciens
NA,0.76677954,Streptococcus pneumoniae
NA,0.757289523,Moraxella nonliquefaciens
NA,0.75638467,Moraxella catarrhalis
NA,0.747577677,Streptococcus pneumoniae
NA,0.741600901,Haemophilus influenzae
NA,0.735070373,Streptococcus pneumoniae
NA,0.730666135,Haemophilus influenzae
NA,0.729095903,Moraxella nonliquefaciens
NA,0.714038287,Streptococcus pneumoniae
NA,0.713458137,Moraxella catarrhalis
NA,0.711186026,Streptococcus pneumoniae
NA,0.711011672,Streptococcus pneumoniae
NA,0.704506552,Escherichia coli
NA,0.702891781,Moraxella nonliquefaciens
NA,0.700855237,Moraxella nonliquefaciens
NA,0.698492227,Streptococcus pneumoniae
NA,0.697065699,Moraxella catarrhalis
NA,0.696574554,Cutibacterium acnes
NA,0.690533376,Moraxella catarrhalis
NA,0.687424295,Haemophilus influenzae
NA,0.675452914,Streptococcus pneumoniae
NA,0.67076975,Streptococcus pneumoniae
NA,0.661518971,Streptococcus pneumoniae
NA,0.651407692,Moraxella catarrhalis
NA,0.649446284,Moraxella catarrhalis
NA,0.64677474,Moraxella catarrhalis
NA,0.64550151,Cutibacterium acnes
NA,0.645248631,Moraxella nonliquefaciens
NA,0.641596476,Streptococcus pneumoniae
NA,0.639643546,Streptococcus pneumoniae
NA,0.635338854,Haemophilus influenzae
NA,0.634595519,Streptococcus pneumoniae
NA,0.628971623,Streptococcus pneumoniae
NA,0.62771352,Moraxella nonliquefaciens
NA,0.621357174,Streptococcus pneumoniae
NA,0.618936639,Cutibacterium acnes
NA,0.616999275,Moraxella nonliquefaciens
NA,0.609276188,Moraxella catarrhalis
NA,0.608944436,Streptococcus pneumoniae
NA,0.605705872,Streptococcus pneumoniae
NA,0.604910498,Streptococcus pneumoniae
NA,0.60423971,Moraxella catarrhalis
NA,0.601575822,Moraxella nonliquefaciens
NA,0.60013268,Moraxella catarrhalis
NA,0.594315987,Moraxella nonliquefaciens
NA,0.589932881,Moraxella catarrhalis
NA,0.585027297,Moraxella nonliquefaciens
NA,0.584603326,Haemophilus influenzae
NA,0.581635855,Haemophilus influenzae
NA,0.581477942,Moraxella catarrhalis
NA,0.579566593,Haemophilus influenzae
NA,0.579466023,Streptococcus pneumoniae
NA,0.578852903,Moraxella nonliquefaciens
NA,0.578175251,Moraxella nonliquefaciens
NA,0.574006981,Moraxella catarrhalis
NA,0.573313717,Streptococcus pneumoniae
NA,0.572782178,Streptococcus pneumoniae
NA,0.571151563,Cutibacterium acnes
NA,0.570072432,Streptococcus pneumoniae
NA,0.568410999,Haemophilus influenzae
NA,0.560771613,Haemophilus influenzae
NA,0.554027608,Moraxella nonliquefaciens
NA,0.553529192,Moraxella catarrhalis
NA,0.552251447,Cutibacterium acnes
NA,0.550212558,Streptococcus pneumoniae
NA,0.550003078,Streptococcus pneumoniae
NA,0.546749992,Moraxella catarrhalis
NA,0.538040092,Haemophilus influenzae
NA,0.53793261,Streptococcus pneumoniae
NA,0.531904519,Cutibacterium acnes
NA,0.531280573,Moraxella nonliquefaciens
NA,0.527333964,Cutibacterium acnes
NA,0.517723953,Streptococcus pneumoniae
NA,0.514200204,Moraxella catarrhalis
NA,0.51192272,Moraxella catarrhalis
NA,0.511829354,Prevotella nanceiensis
NA,0.508414845,Moraxella nonliquefaciens
NA,0.506291577,Streptococcus pneumoniae
NA,0.50059017,Cutibacterium acnes
NA,0.499803243,Moraxella catarrhalis
NA,0.499223698,Streptococcus pneumoniae
NA,0.499173696,Haemophilus influenzae
NA,0.498989474,Streptococcus pneumoniae
NA,0.498259849,Haemophilus influenzae
NA,0.495640056,Streptococcus pneumoniae
NA,0.494511845,Moraxella nonliquefaciens
NA,0.490941111,Moraxella nonliquefaciens
NA,0.488216052,Streptococcus pneumoniae
NA,0.487413192,Streptococcus pneumoniae
NA,0.486296441,Cutibacterium acnes
NA,0.483273305,Streptococcus pneumoniae
NA,0.478177432,Moraxella catarrhalis
NA,0.476676173,Moraxella catarrhalis
NA,0.474372382,Streptococcus pneumoniae
NA,0.472160262,Streptococcus pneumoniae
NA,0.465715342,Streptococcus pneumoniae
NA,0.462605669,Escherichia coli
NA,0.462337706,Streptococcus pneumoniae
NA,0.455703168,Streptococcus pneumoniae
NA,0.454911313,Cutibacterium acnes
NA,0.454448307,Moraxella catarrhalis
NA,0.450758169,Streptococcus pneumoniae
NA,0.441746482,Cutibacterium acnes
NA,0.441262735,Streptococcus pneumoniae
NA,0.439995434,Prevotella melaninogenica
NA,0.4394326,Moraxella catarrhalis
NA,0.436223231,Streptococcus pneumoniae
NA,0.430928354,Cutibacterium acnes
NA,0.424263141,Haemophilus influenzae
NA,0.423763936,Moraxella catarrhalis
NA,0.422557489,Streptococcus pneumoniae
NA,0.419848508,Escherichia coli
NA,0.419470784,Moraxella catarrhalis
NA,0.41793459,Streptococcus pneumoniae
NA,0.413300491,Streptococcus pneumoniae
NA,0.409574639,Moraxella catarrhalis
NA,0.395070176,Cutibacterium acnes
NA,0.394103317,Streptococcus pneumoniae
NA,0.393889085,Moraxella nonliquefaciens
NA,0.391125167,Haemophilus influenzae
NA,0.38882891,Moraxella nonliquefaciens
NA,0.388072575,Streptococcus pneumoniae
NA,0.386785532,Streptococcus pneumoniae
NA,0.385988248,Streptococcus pneumoniae
NA,0.385519567,Moraxella nonliquefaciens
NA,0.384292419,Moraxella catarrhalis
NA,0.382469179,Moraxella nonliquefaciens
NA,0.378827519,Streptococcus pneumoniae
NA,0.37429408,Haemophilus influenzae
NA,0.371721774,Moraxella catarrhalis
NA,0.371619011,Moraxella catarrhalis
NA,0.371534835,Streptococcus pneumoniae
NA,0.371091655,Cutibacterium acnes
NA,0.370194211,Moraxella catarrhalis
NA,0.370163304,Streptococcus pneumoniae
NA,0.369925156,Streptococcus pneumoniae
NA,0.368626084,Cutibacterium acnes
NA,0.368421108,Haemophilus influenzae
NA,0.365170706,Moraxella catarrhalis
NA,0.362387831,Streptococcus pneumoniae
NA,0.362363645,Streptococcus mitis
NA,0.362328439,Moraxella catarrhalis
NA,0.361714969,Moraxella catarrhalis
NA,0.361271965,Cutibacterium acnes
NA,0.354495989,Cutibacterium acnes
NA,0.35089392,Escherichia coli
NA,0.349434621,Prevotella melaninogenica
NA,0.349098101,Moraxella catarrhalis
NA,0.348688206,Streptococcus pneumoniae
NA,0.34491905,Cutibacterium acnes
NA,0.344151448,Streptococcus mitis
NA,0.343581524,Streptococcus pneumoniae
NA,0.342911228,Streptococcus pneumoniae
NA,0.33983195,Corynebacterium simulans
NA,0.339678948,Haemophilus influenzae
NA,0.339522416,Cutibacterium acnes
NA,0.338375502,Streptococcus pneumoniae
NA,0.337496742,Streptococcus pneumoniae
NA,0.335420979,Haemophilus influenzae
NA,0.335230413,Cutibacterium acnes
NA,0.335111008,Corynebacterium simulans
NA,0.331217549,Streptococcus pneumoniae
NA,0.329283149,Cutibacterium acnes
NA,0.328409618,Streptococcus pneumoniae
NA,0.327882129,Haemophilus influenzae
NA,0.327684378,Haemophilus influenzae
NA,0.327492572,Moraxella nonliquefaciens
NA,0.321506047,Streptococcus pneumoniae
NA,0.315758947,Streptococcus pneumoniae
NA,0.314523622,Streptococcus pneumoniae
NA,0.308825207,Haemophilus influenzae
NA,0.308465056,Cutibacterium acnes
NA,0.306276632,Prevotella melaninogenica
NA,0.306081597,Moraxella catarrhalis
NA,0.303778945,Streptococcus pneumoniae
NA,0.303542399,Streptococcus pneumoniae
NA,0.302932196,Haemophilus influenzae
NA,0.301172785,Streptococcus pneumoniae
NA,0.300382393,Moraxella catarrhalis
NA,0.300047692,Cutibacterium acnes
NA,0.299801473,Prevotella nanceiensis
NA,0.297106354,Cutibacterium acnes
NA,0.296811115,Moraxella catarrhalis
NA,0.295777842,Streptococcus pneumoniae
NA,0.293372701,Cutibacterium acnes
NA,0.291267434,Streptococcus pneumoniae
NA,0.291184623,Streptococcus pneumoniae
NA,0.289357363,Prevotella nanceiensis
NA,0.289144901,Escherichia coli
NA,0.287481441,Moraxella catarrhalis
NA,0.285666058,Moraxella catarrhalis
NA,0.285569482,Cutibacterium acnes
NA,0.281476925,Streptococcus pneumoniae
NA,0.281254489,Prevotella melaninogenica
NA,0.280016628,Corynebacterium simulans
NA,0.278778546,Streptococcus pneumoniae
NA,0.277288358,Prevotella melaninogenica
NA,0.27492938,Moraxella catarrhalis
NA,0.273463216,Moraxella nonliquefaciens
NA,0.273026313,Streptococcus pneumoniae
NA,0.270868004,Escherichia coli
NA,0.270818085,Moraxella nonliquefaciens
NA,0.269128195,Streptococcus pneumoniae
NA,0.268720039,Moraxella catarrhalis
NA,0.2658152,Cutibacterium acnes
