name,FC,log2FC,pval,p_adjust
adk,34.54642894,5.110464682,1.38E-10,6.97E-07
mmdA,4.768412674,2.253509097,1.46E-09,2.17E-06
rplK,-1.688765041,NA,1.26E-09,2.17E-06
ychF,231.4243397,7.854396795,1.71E-09,2.17E-06
rsmD,32.47700662,5.021346762,4.92E-09,4.98E-06
addB,2.714483484,1.440677706,9.45E-09,5.32E-06
glk,8.522183193,3.091223064,6.39E-09,5.32E-06
gmd,47.96697076,5.583969427,9.04E-09,5.32E-06
hcp,4.892746231,2.290644457,8.05E-09,5.32E-06
susC,5.558406789,2.474671421,1.22E-08,6.19E-06
psd,-5.137400228,NA,1.89E-08,8.69E-06
nagZ2,5.486758381,2.455954046,3.21E-08,1.25E-05
rpsK,4.024686487,2.008876405,3.17E-08,1.25E-05
Z012_10445,-1.9022243,NA,3.65E-08,1.28E-05
nhaD,3.580732214,1.84025463,3.79E-08,1.28E-05
mutT3,2.020890151,1.014990903,5.18E-08,1.64E-05
surA,2.747570783,1.458156648,6.46E-08,1.92E-05
nuoB,-1.495740646,NA,1.61E-07,4.52E-05
ilvH,29.29689949,4.872676086,2.32E-07,6.18E-05
aroK,2.46878125,1.30379901,2.54E-07,6.44E-05
ctp,5.034837391,2.331945184,3.30E-07,7.95E-05
clpX_1,1.938340594,0.954822095,3.95E-07,9.09E-05
vorA,3.889754605,1.959679142,4.82E-07,0.000106119
rpoZ,2.447572584,1.291351644,5.24E-07,0.00011058
hybD,2.252977504,1.171832908,7.06E-07,0.000140195
pep,1.942911458,0.958220156,7.20E-07,0.000140195
tolC,3.757483887,1.909766917,1.06E-06,0.000198197
rubY,2.830812321,1.501216104,2.12E-06,0.000382802
fusA2,-0.334905128,NA,2.61E-06,0.000454899
hemA,2.520113701,1.333488826,3.05E-06,0.000515288
dbpA,2.506968727,1.325943999,3.35E-06,0.000546861
estA,3.551120996,1.828274518,4.07E-06,0.000644355
cas9,2.098772045,1.069545479,4.54E-06,0.000675818
murG,10.49310722,3.391370046,4.50E-06,0.000675818
cobM,1.706411329,0.770965449,5.22E-06,0.00073415
xth,2.43354236,1.283057887,5.15E-06,0.00073415
sspA,1.543246877,0.625968872,6.55E-06,0.000897084
dnaX,-2.261898684,NA,6.85E-06,0.000912234
