PPVuse,Abundance,Species
NA,0.981306403,Ramularia collo-cygni
NA,0.915433025,Ramularia collo-cygni
NA,0.889670802,Ramularia collo-cygni
NA,0.837736179,Ramularia collo-cygni
NA,0.824099799,Malassezia restricta
NA,0.801573055,Ramularia collo-cygni
NA,0.720909739,Malassezia restricta
NA,0.680104177,Malassezia restricta
NA,0.647393725,Malassezia restricta
NA,0.640629475,Malassezia restricta
NA,0.638465263,Malassezia restricta
NA,0.611536626,Ramularia collo-cygni
NA,0.6106805,Malassezia restricta
NA,0.592688238,Sugiyamaella lignohabitans
NA,0.584279248,Malassezia restricta
NA,0.565585191,Sugiyamaella lignohabitans
NA,0.565278579,Malassezia restricta
NA,0.555924799,Malassezia restricta
NA,0.550799862,Malassezia restricta
NA,0.54958347,Malassezia restricta
NA,0.546329483,Malassezia restricta
NA,0.543561599,Malassezia restricta
NA,0.541096769,Malassezia restricta
NA,0.538190228,Malassezia restricta
NA,0.535432581,Malassezia restricta
NA,0.531814725,Malassezia restricta
NA,0.530692059,Phycomyces blakesleeanus
NA,0.529566981,Malassezia restricta
NA,0.521828131,Malassezia restricta
NA,0.516861088,Malassezia restricta
NA,0.515694824,Malassezia restricta
NA,0.513255338,Malassezia restricta
NA,0.512448208,Malassezia restricta
NA,0.510416128,Malassezia globosa
NA,0.508784035,Malassezia restricta
NA,0.504828035,Malassezia restricta
NA,0.50464689,Malassezia restricta
NA,0.501529052,Malassezia restricta
NA,0.498468208,Malassezia globosa
NA,0.493818915,Malassezia restricta
NA,0.49092172,Malassezia restricta
NA,0.483317887,Malassezia restricta
NA,0.477712198,Malassezia restricta
NA,0.473292552,Malassezia restricta
NA,0.470036067,Malassezia restricta
NA,0.466730354,Malassezia restricta
NA,0.462540316,Malassezia restricta
NA,0.460087948,Malassezia restricta
NA,0.458292303,Malassezia restricta
NA,0.455227888,Malassezia restricta
NA,0.454479073,Malassezia restricta
NA,0.453051567,Malassezia restricta
NA,0.451527369,Malassezia restricta
NA,0.443730111,Malassezia restricta
NA,0.440348802,Malassezia restricta
NA,0.433596762,Malassezia restricta
NA,0.432524044,Malassezia restricta
NA,0.432416377,Penicillium rubens
NA,0.432295276,Malassezia restricta
NA,0.430000496,Malassezia globosa
NA,0.429404334,Malassezia restricta
NA,0.429130823,Malassezia restricta
NA,0.426882801,Malassezia restricta
NA,0.426121644,Malassezia globosa
NA,0.420824202,Malassezia restricta
NA,0.417978743,Malassezia restricta
NA,0.417531101,Malassezia restricta
NA,0.417362648,Malassezia restricta
NA,0.416165192,Malassezia globosa
NA,0.409862348,Malassezia restricta
NA,0.408563489,Malassezia restricta
NA,0.400296773,Malassezia restricta
NA,0.393291665,Malassezia restricta
NA,0.379545937,Malassezia restricta
NA,0.37416645,Malassezia restricta
NA,0.373567121,Malassezia restricta
NA,0.373244466,Malassezia restricta
NA,0.372829005,Malassezia restricta
NA,0.371490476,Malassezia restricta
NA,0.371240332,Malassezia restricta
NA,0.370912903,Malassezia restricta
NA,0.369934003,Malassezia restricta
NA,0.367687589,Malassezia restricta
NA,0.364902398,Malassezia globosa
NA,0.358692221,Malassezia restricta
NA,0.35714914,Malassezia restricta
NA,0.345440344,Malassezia restricta
NA,0.345278818,Malassezia restricta
NA,0.343397787,Malassezia restricta
NA,0.343117869,Malassezia globosa
NA,0.342024141,Malassezia restricta
NA,0.336783568,Malassezia globosa
NA,0.336626963,Malassezia restricta
NA,0.336540009,Malassezia restricta
NA,0.336262404,Malassezia restricta
NA,0.330752462,Malassezia restricta
NA,0.328613493,Malassezia globosa
NA,0.32710492,Malassezia globosa
NA,0.324085385,Malassezia globosa
NA,0.322267122,Malassezia restricta
NA,0.322008946,Malassezia restricta
NA,0.31548674,Malassezia restricta
NA,0.310273573,Malassezia restricta
NA,0.310130639,Malassezia globosa
NA,0.309630649,Malassezia restricta
NA,0.309230895,Malassezia restricta
NA,0.308003656,Malassezia globosa
NA,0.307629773,Malassezia restricta
NA,0.306731735,Malassezia restricta
NA,0.306696429,Malassezia restricta
NA,0.302559415,Malassezia restricta
NA,0.299509002,Phycomyces blakesleeanus
NA,0.298472385,Malassezia restricta
NA,0.297332293,Malassezia restricta
NA,0.29721528,Malassezia restricta
NA,0.297120098,Malassezia globosa
NA,0.295982761,Malassezia restricta
NA,0.295448987,Malassezia restricta
NA,0.294820538,Malassezia globosa
NA,0.294612672,Malassezia restricta
NA,0.291987905,Malassezia globosa
NA,0.288618951,Malassezia globosa
NA,0.286917705,Malassezia globosa
NA,0.284734234,Malassezia globosa
NA,0.283971475,Malassezia restricta
NA,0.279954677,Malassezia restricta
NA,0.27979079,Malassezia globosa
NA,0.277491816,Malassezia restricta
NA,0.275891783,Malassezia restricta
NA,0.275472013,Malassezia restricta
NA,0.2747499,Malassezia restricta
NA,0.273092781,Malassezia restricta
NA,0.272934591,Malassezia restricta
NA,0.268729878,Malassezia restricta
NA,0.267092983,Malassezia restricta
NA,0.264301975,Malassezia restricta
NA,0.25909329,Malassezia restricta
NA,0.258890119,Malassezia restricta
NA,0.258399929,Malassezia restricta
NA,0.256860952,Malassezia globosa
NA,0.256546645,Melampsora larici-populina
NA,0.255707143,Sugiyamaella lignohabitans
NA,0.254797441,Malassezia globosa
NA,0.25458059,Malassezia restricta
NA,0.254173398,Malassezia restricta
NA,0.253430818,Malassezia restricta
NA,0.25298988,Malassezia restricta
NA,0.252780518,Malassezia restricta
NA,0.251844781,Malassezia restricta
NA,0.25090244,Malassezia restricta
NA,0.249061079,Malassezia restricta
NA,0.247358873,Malassezia restricta
NA,0.245011427,Malassezia restricta
NA,0.244466507,Malassezia restricta
NA,0.238502674,Malassezia restricta
NA,0.237548207,Malassezia restricta
NA,0.235198118,Malassezia restricta
NA,0.234388514,Malassezia restricta
NA,0.233729655,Malassezia restricta
NA,0.232815502,Malassezia restricta
NA,0.232164099,Melampsora larici-populina
NA,0.231470741,Malassezia globosa
NA,0.229811928,Malassezia restricta
NA,0.228217745,Sugiyamaella lignohabitans
NA,0.228142,Malassezia restricta
NA,0.227991934,Malassezia restricta
NA,0.226733514,Sugiyamaella lignohabitans
NA,0.226192017,Malassezia restricta
NA,0.22533475,Malassezia restricta
NA,0.224919257,Malassezia restricta
NA,0.224489796,Malassezia restricta
NA,0.224268411,Malassezia restricta
NA,0.222549273,Malassezia restricta
NA,0.222531169,Malassezia globosa
NA,0.219917584,Malassezia globosa
NA,0.219690219,Malassezia globosa
NA,0.219287681,Malassezia restricta
NA,0.218488264,Malassezia globosa
NA,0.217897854,Sugiyamaella lignohabitans
NA,0.21766047,Malassezia globosa
NA,0.217572301,Malassezia restricta
NA,0.21700397,Malassezia restricta
NA,0.216764271,Malassezia restricta
NA,0.21527186,Malassezia restricta
NA,0.215079177,Malassezia restricta
NA,0.214554083,Malassezia restricta
NA,0.213865181,Malassezia restricta
NA,0.212265724,Malassezia restricta
NA,0.208831852,Malassezia restricta
NA,0.20868342,Trametes versicolor
NA,0.208325094,Malassezia globosa
NA,0.208007345,Phycomyces blakesleeanus
NA,0.205843712,Malassezia restricta
NA,0.204395023,Trametes versicolor
NA,0.204265595,Malassezia globosa
NA,0.203383622,Sugiyamaella lignohabitans
NA,0.202368325,Malassezia restricta
NA,0.202289802,Malassezia restricta
NA,0.201999956,Malassezia globosa
NA,0.201987733,Malassezia restricta
NA,0.200653208,Malassezia restricta
NA,0.200608424,Malassezia globosa
NA,0.200428151,Malassezia restricta
NA,0.192202462,Malassezia restricta
NA,0.190949833,Malassezia restricta
NA,0.187761033,Malassezia globosa
NA,0.18584426,Malassezia globosa
NA,0.184067316,Malassezia globosa
NA,0.184028076,Malassezia restricta
NA,0.1807084,Malassezia globosa
NA,0.180306834,Aspergillus heteromorphus
NA,0.17856659,Malassezia restricta
NA,0.177553338,Malassezia restricta
NA,0.175884489,Malassezia restricta
NA,0.175663099,Malassezia restricta
NA,0.175630252,Malassezia globosa
NA,0.175314901,Sugiyamaella lignohabitans
NA,0.173370551,Malassezia globosa
NA,0.172752455,Aspergillus heteromorphus
NA,0.172299164,Malassezia globosa
NA,0.171966816,Malassezia globosa
NA,0.169911504,Malassezia restricta
NA,0.168769341,Malassezia globosa
NA,0.167644097,Malassezia restricta
NA,0.167409557,Malassezia globosa
NA,0.167407952,Melampsora larici-populina
NA,0.166719328,Malassezia globosa
NA,0.165958131,Malassezia restricta
NA,0.165777822,Malassezia globosa
NA,0.165348828,Sugiyamaella lignohabitans
NA,0.163168328,Sugiyamaella lignohabitans
NA,0.162711864,Malassezia restricta
NA,0.162460654,Malassezia globosa
NA,0.160462913,Malassezia globosa
NA,0.160148644,Aspergillus heteromorphus
NA,0.158046092,Malassezia globosa
NA,0.156652792,Malassezia globosa
NA,0.156581969,Malassezia globosa
NA,0.156485522,Malassezia globosa
NA,0.156397805,Malassezia globosa
NA,0.156200195,Malassezia globosa
NA,0.155356858,Malassezia globosa
NA,0.154826194,Malassezia restricta
NA,0.153731343,Malassezia restricta
NA,0.151883404,Malassezia globosa
NA,0.151481436,Melampsora larici-populina
NA,0.151317755,Malassezia globosa
NA,0.150453079,Malassezia globosa
NA,0.150140617,Malassezia globosa
NA,0.148098669,Malassezia globosa
NA,0.147757433,Malassezia restricta
NA,0.147299509,Malassezia restricta
NA,0.147215866,Malassezia globosa
NA,0.146092445,Malassezia globosa
NA,0.145599407,Malassezia restricta
NA,0.144334716,Malassezia restricta
NA,0.143786324,Malassezia globosa
NA,0.142793378,Malassezia globosa
NA,0.142448522,Malassezia restricta
NA,0.142208317,Malassezia globosa
NA,0.141494012,Malassezia restricta
NA,0.141288365,Malassezia globosa
NA,0.140065147,Malassezia globosa
NA,0.13893317,Malassezia restricta
NA,0.138518988,Malassezia globosa
NA,0.138378074,Malassezia restricta
NA,0.137195563,Trametes versicolor
NA,0.136687092,Malassezia globosa
NA,0.136344315,Malassezia globosa
NA,0.135765382,Malassezia globosa
NA,0.135638176,Phycomyces blakesleeanus
NA,0.134547244,Sugiyamaella lignohabitans
NA,0.134447539,Malassezia globosa
NA,0.133927527,Sugiyamaella lignohabitans
NA,0.133875726,Malassezia globosa
NA,0.132805891,Malassezia restricta
NA,0.131648861,Aspergillus heteromorphus
NA,0.131241547,Malassezia restricta
NA,0.130876542,Malassezia restricta
NA,0.130035977,Malassezia globosa
NA,0.129888355,Malassezia globosa
NA,0.129713705,Aspergillus heteromorphus
NA,0.129054054,Malassezia restricta
NA,0.128871718,Malassezia restricta
NA,0.128708429,Phycomyces blakesleeanus
NA,0.128458917,Malassezia globosa
NA,0.12832026,Malassezia globosa
NA,0.128176205,Malassezia restricta
NA,0.127566726,Malassezia globosa
NA,0.127452175,Malassezia globosa
NA,0.127196653,Trametes versicolor
NA,0.127032888,Malassezia restricta
NA,0.126896056,Melampsora larici-populina
NA,0.126535759,Malassezia globosa
NA,0.126133464,Malassezia globosa
NA,0.125970375,Malassezia globosa
NA,0.12594962,Malassezia globosa
NA,0.125566995,Trametes versicolor
NA,0.12513811,Malassezia globosa
NA,0.124628215,Malassezia globosa
NA,0.124594137,Melampsora larici-populina
NA,0.124036131,Malassezia globosa
NA,0.123999219,Malassezia globosa
NA,0.123984806,Malassezia restricta
NA,0.123190939,Melampsora larici-populina
NA,0.122875664,Malassezia globosa
NA,0.122750144,Aspergillus heteromorphus
NA,0.121599864,Trametes versicolor
NA,0.120642495,Malassezia globosa
NA,0.1203331,Malassezia restricta
NA,0.120323793,Malassezia globosa
NA,0.120032218,Malassezia globosa
NA,0.11997073,Aspergillus heteromorphus
NA,0.119784115,Sugiyamaella lignohabitans
NA,0.118199882,Malassezia restricta
NA,0.118025751,Malassezia globosa
NA,0.117486203,Malassezia restricta
NA,0.116839071,Malassezia restricta
NA,0.116773986,Malassezia globosa
NA,0.115048197,Malassezia globosa
NA,0.114497166,Malassezia globosa
NA,0.114414524,Pseudogymnoascus destructans
NA,0.113050157,Malassezia globosa
NA,0.112021265,Malassezia globosa
NA,0.111424048,Sugiyamaella lignohabitans
NA,0.111413879,Malassezia restricta
NA,0.109999387,Malassezia globosa
NA,0.109163681,Malassezia globosa
NA,0.108829441,Sugiyamaella lignohabitans
NA,0.108776478,Malassezia globosa
NA,0.108339963,Malassezia globosa
NA,0.108083444,Malassezia globosa
NA,0.107503904,Malassezia restricta
NA,0.107456278,Aspergillus heteromorphus
NA,0.107204328,Malassezia globosa
NA,0.107137269,Malassezia restricta
NA,0.106785874,Penicillium rubens
NA,0.105862238,Trametes versicolor
NA,0.10555021,Malassezia restricta
NA,0.104618111,Malassezia globosa
NA,0.103529793,Malassezia restricta
NA,0.103162346,Malassezia globosa
NA,0.102966743,Malassezia globosa
NA,0.101951572,Malassezia globosa
NA,0.101585678,Malassezia globosa
NA,0.100813429,Sugiyamaella lignohabitans
NA,0.100546752,Malassezia globosa
NA,0.100275204,Malassezia globosa
NA,0.098898273,Sugiyamaella lignohabitans
NA,0.098885267,Malassezia globosa
NA,0.098882112,Malassezia restricta
NA,0.098782344,Malassezia restricta
NA,0.098643314,Malassezia globosa
NA,0.098549199,Malassezia globosa
NA,0.09833201,Malassezia globosa
NA,0.097891334,Malassezia globosa
NA,0.097118332,Sugiyamaella lignohabitans
NA,0.096331403,Melampsora larici-populina
NA,0.096221212,Malassezia globosa
NA,0.094476987,Sugiyamaella lignohabitans
NA,0.094273161,Malassezia globosa
NA,0.094247971,Malassezia globosa
NA,0.093713845,Malassezia restricta
NA,0.093477391,Malassezia globosa
NA,0.093242494,Malassezia restricta
NA,0.092757135,Trametes versicolor
NA,0.092118177,Malassezia restricta
NA,0.091886753,Malassezia globosa
NA,0.091359513,Malassezia globosa
NA,0.091306676,Pseudogymnoascus destructans
NA,0.090752441,Melampsora larici-populina
NA,0.09044579,Malassezia restricta
NA,0.090285984,Malassezia globosa
NA,0.089963428,Aspergillus heteromorphus
NA,0.089579599,Malassezia globosa
NA,0.089388325,Aspergillus heteromorphus
NA,0.089166588,Malassezia restricta
NA,0.088874277,Melampsora larici-populina
NA,0.088588291,Aspergillus heteromorphus
NA,0.088572216,Malassezia globosa
NA,0.088455468,Malassezia globosa
NA,0.087774259,Melampsora larici-populina
NA,0.087425984,Phycomyces blakesleeanus
NA,0.08683028,Sugiyamaella lignohabitans
NA,0.086823797,Melampsora larici-populina
NA,0.086680266,Malassezia globosa
NA,0.086559229,Malassezia globosa
NA,0.086466114,Malassezia restricta
NA,0.085733074,Malassezia globosa
NA,0.085429688,Malassezia restricta
NA,0.084931507,Sugiyamaella lignohabitans
NA,0.084927501,Malassezia restricta
NA,0.084878558,Malassezia globosa
NA,0.084396889,Malassezia globosa
NA,0.082639007,Malassezia restricta
NA,0.08245145,Sugiyamaella lignohabitans
NA,0.08214913,Malassezia restricta
NA,0.081804021,Malassezia globosa
NA,0.081765433,Malassezia restricta
NA,0.081527727,Malassezia restricta
NA,0.081400486,Malassezia restricta
NA,0.081226679,Malassezia globosa
NA,0.08107762,Malassezia globosa
NA,0.080682571,Malassezia globosa
NA,0.080217168,Malassezia globosa
NA,0.079747577,Malassezia globosa
NA,0.07922105,Malassezia globosa
NA,0.079170814,Aspergillus heteromorphus
NA,0.079160686,Aspergillus heteromorphus
NA,0.079144235,Aspergillus heteromorphus
NA,0.079057332,Aspergillus heteromorphus
NA,0.078828034,Aspergillus heteromorphus
NA,0.078758133,Sugiyamaella lignohabitans
NA,0.077955674,Malassezia globosa
NA,0.077578851,Malassezia globosa
NA,0.077054159,Malassezia globosa
NA,0.076640434,Malassezia globosa
NA,0.075966345,Trametes versicolor
NA,0.075612053,Malassezia globosa
NA,0.075152667,Malassezia globosa
NA,0.074794587,Pseudogymnoascus destructans
NA,0.074713286,Malassezia globosa
NA,0.074199623,Trametes versicolor
NA,0.073392286,Malassezia globosa
NA,0.072996707,Malassezia globosa
NA,0.072683743,Malassezia restricta
NA,0.072005571,Sugiyamaella lignohabitans
NA,0.071484071,Malassezia restricta
NA,0.071157601,Malassezia restricta
NA,0.070432334,Trametes versicolor
NA,0.06952333,Malassezia restricta
NA,0.069451643,Phycomyces blakesleeanus
NA,0.06922292,Trametes versicolor
NA,0.069216049,Malassezia globosa
NA,0.068774846,Trametes versicolor
NA,0.068558641,Malassezia globosa
NA,0.068493724,Melampsora larici-populina
NA,0.068405323,Malassezia globosa
NA,0.068282349,Melampsora larici-populina
NA,0.067839531,Malassezia restricta
NA,0.067655236,Malassezia globosa
NA,0.067567197,Pseudogymnoascus destructans
NA,0.067442851,Malassezia restricta
NA,0.066992835,Penicillium rubens
NA,0.066662807,Malassezia globosa
NA,0.066494749,Malassezia globosa
NA,0.066428639,Malassezia globosa
NA,0.066001968,Aspergillus heteromorphus
NA,0.065813659,Malassezia globosa
NA,0.065403493,Aspergillus heteromorphus
