Module,OR,lowCI,upCI,specimen,Coef,absCoef,col
T cell regulation module,0.23,0.08,0.61,HF,-1.481996476,1.481996476,0
Neutrophi/IL-1 module,6.92,2.48,21.08,HF,1.93391866,1.93391866,1
GPCR module,0.28,0.1,0.69,HF,-1.269966381,1.269966381,0
Type I IFN module,0.3,0.1,0.73,HF,-1.205590771,1.205590771,0
HR-1 module,0.45,0.17,1.02,HF,-0.789647657,0.789647657,0
S. pneumoniae/S. aureus module,2.03,0.78,5.06,MT,0.708488555,0.708488555,1
MC-1 module,1.05,0.41,2.69,MT,0.044583299,0.044583299,1
Moraxella module,0.64,0.21,2,MT,-0.44215388,0.44215388,0
Streptcoccus module,1.32,0.48,3.85,MT,0.279586915,0.279586915,1
Haemophilus module,0.98,0.33,2.86,MT,-0.022906187,0.022906187,0
mRNA metabolism module,0.33,0.16,0.76,MF,-1.098490142,1.098490142,0
Plasma membrane module,0.51,0.25,1.23,MF,-0.674677967,0.674677967,0
BCAA metabolism module,0.71,0.04,1.86,MF,-0.349053776,0.349053776,0
Oxidative stress response module,0.65,0.12,2.07,MF,-0.437056681,0.437056681,0
NADH dehydrogenase module,0.46,0.02,0.71,MF,-0.773318774,0.773318774,0
